County,Tier,price,year,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
Alamance,2,4500,2011,good,4 cylinders,gas,122300,clean,automatic,fwd,hatchback,white
Alamance,2,5200,2006,good,6 cylinders,gas,114554,clean,automatic,rwd,sedan,brown
Alamance,2,39000,2016,like new,8 cylinders,gas,6551,lien,manual,rwd,coupe,grey
Alamance,2,5000,2007,good,6 cylinders,gas,167784,lien,automatic,fwd,sedan,blue
Alamance,2,4000,2002,good,8 cylinders,gas,159750,clean,automatic,fwd,truck,green
Alamance,2,32800,2015,excellent,8 cylinders,gas,70000,clean,automatic,rwd,SUV,white
Alamance,2,4500,1998,good,8 cylinders,gas,127000,clean,manual,rwd,coupe,red
Alamance,2,1950,2001,good,4 cylinders,gas,310000,clean,automatic,fwd,sedan,silver
Alamance,2,5500,2003,good,8 cylinders,gas,163900,clean,automatic,4wd,SUV,green
Alamance,2,39000,2016,like new,8 cylinders,gas,6551,lien,manual,rwd,coupe,grey
Alamance,2,5599,2010,excellent,4 cylinders,gas,121000,clean,manual,rwd,SUV,silver
Alamance,2,42000,2016,like new,8 cylinders,gas,6493,clean,manual,rwd,coupe,grey
Alamance,2,5200,2006,good,6 cylinders,gas,114554,clean,automatic,rwd,sedan,brown
Alamance,2,1395,2002,good,4 cylinders,gas,119882.4,clean,automatic,fwd,coupe,custom
Alamance,2,20450,2013,excellent,6 cylinders,gas,60495,clean,automatic,4wd,sedan,grey
Alamance,2,17000,2013,good,6 cylinders,gas,109000,clean,automatic,4wd,SUV,black
Alamance,2,4500,1999,good,8 cylinders,gas,119882.3653,clean,automatic,rwd,SUV,white
Alamance,2,15000,2000,excellent,8 cylinders,diesel,350000,clean,manual,4wd,truck,black
Alamance,2,7800,2004,excellent,8 cylinders,gas,127418,clean,automatic,4wd,truck,white
Alamance,2,67000,2016,like new,6 cylinders,gas,30447,clean,automatic,4wd,SUV,white
Alamance,2,2500,2005,fair,4 cylinders,gas,226869,clean,automatic,fwd,sedan,grey
Alamance,2,39900,2016,like new,8 cylinders,gas,6529,clean,manual,rwd,coupe,grey
Alamance,2,3800,2005,good,6 cylinders,gas,216675,clean,automatic,4wd,pickup,black
Alamance,2,5000,2012,good,4 cylinders,gas,106000,clean,automatic,fwd,sedan,red
Alamance,2,6499,2002,good,8 cylinders,gas,94802,clean,automatic,rwd,van,brown
Alamance,2,25900,1952,excellent,8 cylinders,gas,119882.4,clean,automatic,fwd,truck,orange
Alamance,2,4000,1972,fair,8 cylinders,gas,119882.4,clean,automatic,rwd,truck,blue
Alamance,2,11495,2007,excellent,8 cylinders,gas,166483,clean,automatic,rwd,SUV,black
Alamance,2,3000,2002,good,4 cylinders,gas,119882.3653,clean,manual,fwd,convertible,red
Alamance,2,5800,2000,like new,8 cylinders,gas,119882.3653,clean,automatic,4wd,pickup,white
Alamance,2,500,1995,fair,4 cylinders,gas,119882.3653,salvage,manual,rwd,pickup,blue
Alamance,2,27000,2015,excellent,8 cylinders,gas,172800,clean,automatic,4wd,truck,white
Alamance,2,18500,2009,excellent,8 cylinders,gas,112000,lien,automatic,4wd,truck,black
